,id,status,chemicalformula,job,subjob,project,timestart,timestop,totalcputime,computer,hamilton,hamversion,parentid,masterid
0,0,finished,,full,/full,training_export/training,2022-06-03 00:02:34.816533,,,zora@cmti001#1,TrainingContainer,0.4,,
1,1,finished,,basic,/basic,training_export/training,2022-06-03 00:02:47.281055,,,zora@cmti001#1,TrainingContainer,0.4,,
2,2,finished,,Al_basic_atomicrex,/Al_basic_atomicrex,training_export/training,2022-06-03 02:00:15.887059,,,zora@cmti001#1,TrainingContainer,0.4,,
